Generator,Reporting Interval (sec),Confidence (%),Stability,Samples Used,Cluster Samples,Minimum Interval,Median Interval,Mean Interval,Maximum Interval,Std Deviation,Total Records
Site_01-GEN1,72,78.28,Fair,9273,9180,56.0,72.0,71.9,90.0,3.91,9279
Site_02-GEN1,75,77.96,Fair,8440,8395,57.0,75.0,75.52,93.0,4.85,8447
Site_03-GEN1,74,88.53,Good,8482,8452,63.0,74.0,74.39,92.0,3.15,8494
Site_04-GEN1,75,77.55,Fair,8800,8739,57.0,75.0,75.46,93.0,4.86,8807
Site_05-GEN1,76,90.08,Good,8802,8779,62.0,76.0,76.16,94.0,3.48,8808
Site_06-GEN1,73,56.99,Poor,7244,6452,54.0,73.0,73.15,90.0,5.56,7254
Site_07-GEN1,94,62.82,Poor,6830,6393,70.0,94.0,94.44,116.0,7.43,6842
Site_08-GEN1,72,66.61,Poor,595,587,58.0,72.0,72.09,85.0,4.69,596
Site_09-GEN1,72,63.06,Poor,9260,9165,55.0,72.0,72.2,91.0,5.55,9268
Site_10-GEN1,76,77.85,Fair,8826,8768,57.0,76.0,75.79,93.0,4.77,8832
Site_11-GEN1,70,71.51,Fair,9596,9545,53.0,70.0,69.76,87.0,4.78,9602
Site_12-GEN1,70,66.97,Poor,9574,9475,53.0,70.0,69.84,87.0,5.16,9582
Site_13-GEN1,75,64.98,Poor,8955,8894,55.0,75.0,74.67,91.0,5.21,8961
Site_14-GEN1,71,70.12,Fair,9443,9378,54.0,71.0,70.9,88.0,4.85,9449
Site_15-GEN1,15,99.98,Excellent,9998,9996,15.0,15.0,15.0,15.0,0.0,10000
Site_16-GEN1,15,95.52,Excellent,9961,9883,5.0,15.0,14.87,15.0,0.95,10000
Site_17-GEN1,15,67.35,Poor,9556,8695,5.0,15.0,13.21,15.0,3.09,10000
Site_18-GEN1,15,72.17,Fair,9632,8888,5.0,15.0,13.57,15.0,2.82,10000
Site_19-GEN1,15,85.71,Good,9824,9487,5.0,15.0,14.37,22.0,2.02,10000
Site_20-GEN1,15,72.94,Fair,9665,8980,5.0,15.0,13.58,15.0,2.81,10000
