Generator,First Timestamp,Last Timestamp,Expected Records,Actual Records,Missing Records,Duplicate Records,Availability (%)
Site_01-GEN1,2026-05-29 00:00:40,2026-06-05 23:59:38,11519,9279,2240,0,80.55
Site_02-GEN1,2026-05-29 00:00:55,2026-06-05 23:59:09,11519,8447,3072,0,73.33
Site_03-GEN1,2026-05-29 00:00:05,2026-06-05 23:58:58,11519,8494,3025,0,73.74
Site_04-GEN1,2026-05-29 00:00:30,2026-06-05 23:59:37,11520,8807,2713,0,76.45
Site_05-GEN1,2026-05-29 00:01:02,2026-06-05 23:59:44,11519,8808,2711,0,76.46
Site_06-GEN1,2026-05-29 00:00:03,2026-06-05 23:59:06,11520,7254,4266,0,62.97
Site_07-GEN1,2026-05-29 00:00:35,2026-06-05 23:59:54,11520,6842,4678,0,59.39
Site_08-GEN1,2026-05-29 00:01:10,2026-05-29 11:59:17,719,596,123,0,82.89
Site_09-GEN1,2026-05-29 00:00:25,2026-06-05 23:59:05,11519,9268,2251,0,80.46
Site_10-GEN1,2026-05-29 00:00:04,2026-06-05 23:58:59,11519,8832,2687,0,76.67
Site_11-GEN1,2026-05-29 00:00:56,2026-06-05 23:59:10,11519,9602,1917,0,83.36
Site_12-GEN1,2026-05-29 00:01:09,2026-06-05 23:59:08,11518,9582,1936,0,83.19
Site_13-GEN1,2026-05-29 00:00:42,2026-06-05 23:59:00,11519,8961,2558,0,77.79
Site_14-GEN1,2026-05-29 00:00:19,2026-06-05 23:59:37,11520,9449,2071,0,82.02
Site_15-GEN1,2026-05-30 07:35:00,2026-06-01 01:17:00,2503,10000,0,1,399.52
Site_16-GEN1,2026-05-29 00:00:00,2026-05-30 16:53:00,2454,10000,0,15,407.5
Site_17-GEN1,2026-05-29 00:00:00,2026-05-30 08:41:45,1962,10000,0,136,509.68
Site_18-GEN1,2026-05-29 00:00:00,2026-05-30 10:11:15,2052,10000,0,100,487.33
Site_19-GEN1,2026-05-29 00:00:00,2026-05-30 14:23:30,2304,10000,0,64,434.03
Site_20-GEN1,2026-05-29 00:00:00,2026-05-30 10:31:00,2072,10000,0,110,482.63
