Generator,Records,Duplicate Timestamps,Average Interval (min),Maximum Gap (min),Estimated Missing Timestamps
Site_01-GEN1,9279,0,1.24,141.4,2241
Site_02-GEN1,8447,0,1.36,533.58,3072
Site_03-GEN1,8494,0,1.36,206.25,3025
Site_04-GEN1,8807,0,1.31,142.38,2714
Site_05-GEN1,8808,0,1.31,141.2,2711
Site_06-GEN1,7254,0,1.59,708.83,4272
Site_07-GEN1,6842,0,1.68,143.75,4678
Site_08-GEN1,596,0,1.21,1.85,123
Site_09-GEN1,9268,0,1.24,143.52,2262
Site_10-GEN1,8832,0,1.3,142.03,2688
Site_11-GEN1,9602,0,1.2,142.8,1926
Site_12-GEN1,9582,0,1.2,143.62,1953
Site_13-GEN1,8961,0,1.29,143.0,2560
Site_14-GEN1,9449,0,1.22,142.98,2078
Site_15-GEN1,10000,1,0.25,2.5,1
Site_16-GEN1,10000,15,0.25,0.25,0
Site_17-GEN1,10000,136,0.2,0.25,0
Site_18-GEN1,10000,100,0.21,0.25,0
Site_19-GEN1,10000,64,0.23,3.5,3
Site_20-GEN1,10000,110,0.21,0.25,0
